"Day","Primary platform","Goal","Format / length","Hook / on-screen opener","Script / talking points","Visual plan","CTA","Caption","Hashtags","Paid ad use"
"13","YouTube Shorts","Search education","30 sec vertical","NVIDIA vs AMD vs Intel: why one tweak pack can't fit all","Explain vendor-specific drivers, power behavior, and supported settings in plain language.","Three-column vendor comparison; matching tabs in Opti Gods.","Find your hardware profile","Your GPU vendor changes which optimizations are relevant. Generic scripts ignore that.","#NVIDIA #AMD #IntelGraphics #GamingPC","No"
"14","TikTok","Free-user conversion","15 sec vertical","You can try 15 native tweaks free.","Explain the lifetime free allowance, server-selected Best 15 flow, and that Undo does not consume another enable.","Best 15 card; green success toast; Applied Tweaks and Undo.","Enable your Best 15","Start free with 15 native performance-tweak enables selected through the secure Best 15 flow.","#FreePCTools #PCOptimization #GamingPC #OptiGods","No"
"15","Instagram Reels","Founder connection","25 sec vertical","Why I built Opti Gods","Founder-style story: too many unsafe mystery scripts, poor laptop coverage, and no clear Undo. Explain the product principle.","Founder narration; old script folders; new app UI; Discord community.","Join the Discord","I built Opti Gods to make Windows optimization easier to review, match, and reverse.","#IndieDeveloper #GamingStartup #PCGaming #OptiGods","No"
"16","YouTube Shorts","Search discovery","28 sec vertical","FPS is only half the story—check frame time","Explain average FPS versus inconsistent frame delivery and why smoothness can feel different at the same FPS.","Two frame-time charts; gameplay examples; app performance view.","Learn what to optimize","Stable frame time can matter as much as a higher FPS counter.","#FrameTime #GamingPerformance #PCOptimization","No"
"17","TikTok","Pain-point awareness","13 sec vertical","That 2022 tweak pack may be hurting your 2026 PC.","Explain that Windows versions, drivers, and hardware differ. Encourage reviewing commands before running them.","Old file date; warning overlays; current scan and recommendation screen.","Use a current hardware scan","Windows, drivers, and hardware change. Your optimization process should check the current system first.","#Windows11 #PCTweaks #GamingPC #TechTok","No"
"18","Instagram Reels","Trust","16 sec vertical","Optimization without a way back? No thanks.","Show restore-point prompt, command preview, Applied Tweaks, and Undo in a premium product montage.","Close UI shots; green restore status; per-tweak Undo.","Download and review free","Nothing should change in the dark. Preview it, apply it, and keep a recovery path.","#WindowsSafety #PCOptimization #GamingSoftware #OptiGods","No"
"19","YouTube Shorts","Search education","25 sec vertical","Which Windows power plan should gamers use?","Explain that desktop, laptop, thermal limits, and workload matter. Avoid claiming one plan is universal.","Power Plans screen; desktop versus laptop comparison; temperature icon.","Check the plan for your PC","The most aggressive power plan is not automatically the best plan for every gaming PC.","#WindowsPowerPlan #LaptopGaming #GamingPC","No"
"20","Instagram Reels","Pro conversion","20 sec vertical","Free gets you started. Pro unlocks the full workspace.","Show Best 15, then full library, game profiles, AI assistant, and lifetime updates. State one-time price accurately.","Clean feature montage with $20 lifetime end card and Discord-linked access.","Unlock Pro for $20 lifetime","Start free. Upgrade once when you want the full tweak library, game profiles, AI tools, and future updates.","#GamingPC #PCOptimization #WindowsGaming #OptiGods","Yes — Meta retargeting ad"
"21","TikTok","Education + comments","15 sec vertical","Before you buy new RAM, check what's eating it.","Show startup programs and background processes; explain that disabling essential services blindly is unsafe.","Task Manager capture; startup list; safe versus essential labels.","Comment your idle RAM usage","High idle memory can come from startup apps and background tools—not only from too little RAM.","#RAM #TaskManager #PCTips #GamingPC","No"
"22","YouTube Shorts","Product search","25 sec vertical","How game auto-detection works in Opti Gods","Show detection results remaining visible, scroll to Game Library, then open a matched profile.","Full screen recording with cursor highlights and concise narration.","Download the free app","Opti Gods finds installed games, keeps the results visible, and takes you to the matching profiles.","#GameDetection #PCGaming #WindowsApp","No"
"23","TikTok","Laptop audience","15 sec vertical","3 laptop optimization mistakes","Call out disabling safety features, forcing desktop power settings, and ignoring thermals. Recommend laptop-aware checks.","Laptop B-roll; three fast red X scenes; laptop recommendations screen.","Scan your laptop","Laptop optimization is not desktop optimization with fewer watts. Thermals and shared power limits matter.","#LaptopGaming #GamingLaptop #PCTips #OptiGods","No"
"24","Instagram Reels","Community growth","15 sec vertical","Need help with your exact PC?","Show Discord channels, support replies, verified reviews, and preset drops without exposing private messages.","Discord channel montage with names/details blurred; brand end card.","Join the Opti Gods Discord","Get setup help, hardware-specific answers, preset drops, and verified community results.","#GamingCommunity #DiscordCommunity #PCGaming #OptiGods","No"
"25","TikTok","Product demo","12 sec vertical","From scan to ready in seconds.","Rapid product workflow: scan, review, Best 15 or profile, green success, Applied Tweaks.","Speed-ramped UI recording with click sounds and captions.","Try it free","Scan. Review. Optimize. Keep Undo ready.","#PCOptimization #WindowsGaming #GamingPC #OptiGods","No"
"26","YouTube Shorts","Authority + safety","30 sec vertical","Windows settings you should NOT disable blindly","Explain Defender, VBS, pagefile/memory features, and network settings can have tradeoffs. Expert settings must remain opt-in.","Warning cards; expert section; command preview; recovery controls.","Review expert tweaks first","Some Windows changes trade security or stability for performance. Never apply them without understanding the cost.","#WindowsSecurity #PCTweaks #GamingPC","No"
"27","Instagram Reels","AI-feature conversion","18 sec vertical","Ask an optimizer why—not just what.","Show a user asking Opti Gods AI about their CPU/GPU and receiving a hardware-aware explanation and preset guidance.","AI assistant chat capture; hardware card; suggested next step.","Ask Opti Gods AI","Use the AI assistant to understand recommendations before you change your system.","#AIAssistant #PCGaming #WindowsOptimization #OptiGods","No"
"28","TikTok","Community response","15 sec vertical","Replying to: 'Will this work on my PC?'","Use a real comment. Explain Windows 10/11 support and hardware detection; ask for CPU, GPU, and laptop/desktop details.","Comment reply layout; scan fields; quick supported-hardware montage.","Comment your specs","Tell me your CPU, GPU, and whether it's a laptop or desktop. I'll point you to the right starting place.","#PCSpecs #GamingHelp #TechTok #OptiGods","No"
"29","YouTube Shorts","High-intent install guide","30 sec vertical","Opti Gods setup in 30 seconds","Show download, installer, Discord login, system scan, recommendation review, and first free action. Mention SmartScreen steps only accurately.","Step-by-step screen recording with large numbered captions.","Download from OptiGods.com","A quick start guide for installing Opti Gods and running your first hardware-aware scan.","#OptiGods #WindowsApp #PCOptimization","No"
"30","TikTok + Reels + Shorts","Scale the winner","15–25 sec vertical","Reuse the month's highest-retention hook","Keep the winning first 2 seconds. Replace the middle with the strongest product proof and end with the best-performing CTA.","Edit three variants: new product shot, new proof clip, and new CTA while keeping the winning hook.","Use the winning CTA","The caption should match the winning topic and platform search phrase discovered during the first 29 days.","#PCOptimization #GamingPC #OptiGods","Yes — paid test on the platform that produced the most qualified clicks"
